Year,Order,Player,Club,Nationality,Points
2023,7,Julian Alvarez,Man City,Argentina,28.0
2023,8,Victor Osimhen,Napoli,Nigeria,24.0
2023,9,Bernardo Silva,Man City,Portugal,20.0
2023,10,Luka Modric,Real Madrid,Croatia,19.0
2023,11,Mohamed Salah,Liverpool,Egypt,13.0
2023,12,Robert Lewandowski,Barcelona,Poland,12.0
2023,13,Yassine Bounou,Sevilla,Morocco,10.0
2023,14,Ilkay Gundogan,Man City / Barcelona,Germany,8.0
2023,15,Emiliano Martinez,Aston Villa,Argentina,7.0
2023,16,Karim Benzema,Real Madrid,France,6.0
2023,16,Khvicha Kvaratskhelia,Napoli,Georgia,6.0
2023,18,Jude Bellingham,Borussia Dortmund / Real Madrid,England,5.0
2023,19,Harry Kane,Tottenham / Bayern Munich,England,4.0
2023,19,Lautaro Martinez,Inter Milan,Argentina,4.0
2023,19,Antoine Griezmann,Atletico Madrid,France,4.0
2023,22,Kim Min-Jae,Napoli / Bayern Munich,South Korea,3.0
2023,23,Andre Onana,Man United,Cameroon,2.0
2023,24,Bukayo Saka,Arsenal,England,1.0
2023,24,Josko Gvardiol,RB Leipzig / Man City,Croatia,1.0
2023,26,Jamal Musiala,Bayern Munich,Germany,0.0
2023,26,Nicolo Barella,Inter Milan,Italy,0.0
2023,26,Randal Kolo Muani,Eintracht Frankfurt / PSG,France,0.0
2023,26,Martin Odegaard,Arsenal,Norway,0.0
2023,26,Ruben Dias,Man City,Portugal,0.0
